Animalia ,Arthropoda,Arachnida,Araneae,Zodariidae,Tenedos,brescoviti,,Tenedos brescoviti ,"Tenedos brescoviti Jocqué & Baert, 2002",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Zodariidae,Tenedos,major,,Tenedos major ,"Tenedos major (Keyserling, 1891)",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Zodariidae,Tenedos,minor,,Tenedos minor ,"Tenedos minor (Keyserling, 1891)",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Cryptogeobiidae,Spinopilar,moria,,Spinopilar moria ,"Spinopilar moria Kury & Pérez-González, 2008

",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Escadabiidae,Spaeleoleptes,spaeleus,,Spaeleoleptes spaeleus ,"Spaeleoleptes spaeleus (H. Soares, 1966)",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Discocyrtus,pedrosoi,,Discocyrtus pedrosoi ,"Discocyrtus pedrosoi Kury, 2008",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Eusarcus,cavernicola,,Eusarcus cavernicola ,"Eusarcus cavernicola Hara & Pinto-da-Rocha, 2010",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Eusarcus,elinae,,Eusarcus elinae ,"Eusarcus elinae Kury, 2008",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Giupponia,chagasi,,Giupponia chagasi ,"Giupponia chagasi Pérez & Kury, 2002",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Iandumoema,setimapocu,,Iandumoema setimapocu ,"Iandumoema setimapocu Hara & Pinto-da-Rocha, 2008",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Iandumoema,uai,,Iandumoema uai ,"Iandumoema uai Pinto-da-Rocha, 1996",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Pachylospeleus,strinatii,,Pachylospeleus strinatii ,"Pachylospeleus strinatii (Silhavý, 1974)",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Neogoveidae,Canga,renatae,,Canga renatae ,"Canga renatae da Silva, Pinto-da-Rocha & Giribet, 2010",Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Jussara,aureopunctata,,Jussara aureopunctata ,Jussara aureopunctata (Roewer 1953),Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Jussara,lineata,,Jussara lineata ,Jussara lineata (Roewer 1953),Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Jussara,marmorata,,Jussara marmorata ,Jussara marmorata (Mello-Leitão 1934),Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Jussara,quadrimaculata,,Jussara quadrimaculata ,Jussara quadrimaculata (Roewer 1953),Opilião,,,
Animalia ,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Jussara,una,,Jussara una ,"Jussara una Tourinho-Davis & Kury, 2003",Opilião,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,maquinensis,,Eukoenenia maquinensis ,"Eukoenenia maquinensis Souza & Ferreira, 2010",Palpígrado,,,
Animalia ,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,potiguar,,Eukoenenia potiguar ,"Eukoenenia potiguar Ferreira, Souza, Machado & Brescovit, 2011",Palpígrado,,,
